timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763116434.844958,8,1198,0,45989888,99.31,
1763116434.845057,4,1158,0,46268416,99.31,
1763116434.845034,5,1231,0,46186496,99.31,
1763116434.845224,7,1210,0,45907968,99.31,
1763116434.845118,1,1208,0,46055424,99.31,
1763116434.845257,6,1144,0,45793280,99.31,
1763116434.845264,2,1216,0,45907968,99.31,
1763116434.849083,3,1180,0,46039040,99.31,
1763116434.849325,9,1103,0,46186496,99.31,
1763116434.849443,0,1313,0,46088192,99.31,
1763116435.095020,1,2526,0,46104576,99.31,
1763116435.095041,8,2611,0,46022656,99.31,
1763116435.095067,5,2637,0,46219264,99.31,
1763116435.095263,2,2627,0,45940736,99.31,
1763116435.095301,6,2523,0,45826048,99.31,
1763116435.095298,4,2515,0,46317568,99.31,
1763116435.095453,7,2702,0,45940736,99.31,
1763116435.099274,3,2586,0,46071808,99.31,
1763116435.099284,9,2470,0,46219264,99.31,
1763116435.099916,0,2641,0,46120960,99.31,
1763116435.345059,5,4102,0,46219264,99.31,
1763116435.345124,1,3942,0,46104576,99.31,
1763116435.345195,4,3859,0,46317568,99.31,
1763116435.345229,7,4091,0,45940736,99.31,
1763116435.345497,2,4113,0,45940736,99.31,
1763116435.345642,6,4043,0,45826048,99.31,
1763116435.349044,3,4023,0,46071808,99.31,
1763116435.349349,0,4059,0,46120960,99.31,
1763116435.349475,8,4056,0,46022656,99.31,
1763116435.349511,9,3981,0,46219264,99.31,
1763116435.594992,5,5603,1,46219264,99.31,
1763116435.595014,4,5265,1,46317568,99.31,
1763116435.595149,6,5474,1,45826048,99.31,
1763116435.595168,1,5422,1,46104576,99.31,
1763116435.595181,7,5495,1,45940736,99.31,
1763116435.595298,2,5545,1,45940736,99.31,
1763116435.599102,3,5485,1,46071808,99.31,
1763116435.599292,9,5376,1,46219264,99.31,
1763116435.599456,0,5560,1,46120960,99.31,
1763116435.599575,8,5440,1,46022656,99.31,
1763116435.845025,4,6793,1529,46383104,99.31,
1763116435.845068,1,6940,1519,46186496,99.31,
1763116435.845219,7,7086,1592,45973504,99.31,
1763116435.845222,5,7118,1516,46284800,99.31,
1763116435.845240,6,7031,1558,45858816,99.31,
1763116435.845313,8,6955,1516,46055424,99.31,
1763116435.845498,2,7039,1495,46022656,99.31,
1763116435.849049,3,7053,1569,46120960,99.31,
1763116435.849245,9,6927,1552,46252032,99.31,
1763116435.849408,0,7127,1568,46153728,99.31,
1763116436.095030,1,8480,3059,46186496,99.31,
1763116436.095064,4,8349,3085,46383104,99.31,
1763116436.095086,8,8552,3113,46055424,99.31,
1763116436.095168,7,8576,3082,45973504,99.31,
1763116436.095180,6,8594,3121,45858816,99.31,
1763116436.095212,5,8652,3050,46284800,99.31,
1763116436.095412,2,8560,3016,46022656,99.31,
1763116436.099079,3,8549,3065,46120960,99.31,
1763116436.099244,9,8474,3099,46252032,99.31,
1763116436.099410,0,8671,3112,46153728,99.31,
1763116436.345010,4,9923,4659,46383104,99.31,
1763116436.345013,5,10179,4577,46284800,99.31,
1763116436.345048,8,10034,4595,46055424,99.31,
1763116436.345093,6,10073,4600,45858816,99.31,
1763116436.345173,1,10053,4632,46186496,99.31,
1763116436.345212,2,9977,4433,46022656,99.31,
1763116436.346002,7,10089,4595,45973504,99.31,
1763116436.349045,3,10073,4589,46120960,99.31,
1763116436.349611,0,10223,4664,46153728,99.31,
1763116436.350099,9,9969,4594,46252032,99.31,
1763116436.595016,5,11583,5981,46284800,99.31,
1763116436.595036,1,11526,6105,46186496,99.31,
1763116436.595126,4,11309,6045,46383104,99.31,
1763116436.595198,6,11500,6027,45858816,99.31,
1763116436.595372,7,11669,6175,45973504,99.31,
1763116436.595376,2,11430,5886,46022656,99.31,
1763116436.595028,8,11415,5976,46055424,99.31,
1763116436.599141,3,11467,5983,46120960,99.31,
1763116436.599405,9,11432,6057,46252032,99.31,
1763116436.599551,0,11651,6092,46153728,99.31,
1763116436.844971,8,12931,7492,46055424,99.31,
1763116436.845053,5,13148,7546,46284800,99.31,
1763116436.845052,1,13132,7711,46186496,99.31,
1763116436.845084,6,13060,7587,45858816,99.31,
1763116436.845172,7,13170,7676,45973504,99.31,
1763116436.845203,4,12812,7548,46383104,99.31,
1763116436.845478,2,13044,7500,46022656,99.31,
1763116436.849045,3,12914,7430,46120960,99.31,
1763116436.849270,9,12934,7559,46252032,99.31,
1763116436.853336,0,13179,7620,46153728,99.31,
1763116437.094957,5,14653,9051,46284800,99.31,
1763116437.095117,6,14659,9186,45858816,99.31,
1763116437.095114,1,14707,9286,46186496,99.31,
1763116437.095171,8,14477,9038,46055424,99.31,
1763116437.095185,7,14713,9219,45973504,99.31,
1763116437.095340,4,14333,9069,46383104,99.31,
1763116437.095395,2,14637,9093,46022656,99.31,
1763116437.099135,3,14420,8936,46120960,99.31,
1763116437.099720,0,14693,9134,46153728,99.31,
1763116437.099782,9,14481,9106,46252032,99.31,
1763116437.345032,1,16266,10845,46186496,99.31,
1763116437.345051,4,15796,10532,46383104,99.31,
1763116437.345078,8,15992,10553,46055424,99.31,
1763116437.345110,5,16279,10677,46284800,99.31,
1763116437.345196,7,16246,10752,45973504,99.31,
1763116437.345228,2,16276,10732,46022656,99.31,
1763116437.345286,6,16226,10753,45858816,99.31,
1763116437.349105,3,15954,10470,46120960,99.31,
1763116437.349337,9,16128,10753,46252032,99.31,
1763116437.349667,0,16243,10684,46153728,99.31,
