timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763268689.560893,3,124,0,41795584,54.22
1763268689.562082,1,131,0,41795584,54.22
1763268689.562250,2,116,0,41795584,54.22
1763268689.562323,0,113,0,41795584,54.22
1763268689.810724,0,224,0,41844736,54.22
1763268689.810994,2,228,0,41844736,54.22
1763268689.811030,1,260,0,41844736,54.22
1763268689.811268,3,248,0,41844736,54.22
1763268690.060820,1,391,0,41893888,54.22
1763268690.061519,2,340,0,41893888,54.22
1763268690.061770,3,375,0,41893888,54.22
1763268690.062304,0,336,0,41893888,54.22
1763268690.311050,3,491,1,41926656,54.22
1763268690.311203,0,448,1,41926656,54.22
1763268690.311934,1,515,1,41926656,54.22
1763268690.312410,2,451,1,41926656,54.22
1763268690.560667,1,622,108,41975808,54.22
1763268690.560695,3,599,109,41975808,54.22
1763268690.561218,0,570,123,41975808,54.22
1763268690.561893,2,574,124,41975808,54.22
1763268690.811083,3,708,218,42024960,54.22
1763268690.811534,0,693,246,42024960,54.22
1763268690.811739,1,731,217,42024960,54.22
1763268690.812258,2,700,250,42024960,54.22
1763268691.060782,2,825,375,42074112,54.22
1763268691.061378,0,815,368,42074112,54.22
1763268691.062270,1,840,326,42074112,54.22
1763268691.062706,3,818,328,42074112,54.22
1763268691.312134,0,935,488,42123264,54.22
1763268691.312202,3,930,440,42123264,54.22
1763268691.312622,2,953,503,42123264,54.22
1763268691.313041,1,949,435,42123264,54.22
1763268691.560828,1,1057,543,42172416,54.22
1763268691.561273,0,1044,597,42172416,54.22
1763268691.562092,3,1053,563,42172416,54.22
1763268691.562509,2,1079,629,42172416,54.22
1763268691.811530,0,1154,707,42254336,54.22
1763268691.812127,3,1178,688,42254336,54.22
1763268691.812166,2,1203,753,42254336,54.22
1763268691.812484,1,1167,653,42254336,54.22
1763268692.061114,3,1303,813,42352640,54.22
1763268692.061308,0,1265,818,42352640,54.22
1763268692.061339,2,1330,880,42352640,54.22
1763268692.061369,1,1277,763,42352640,54.22
1763268692.310665,2,1457,1007,42418176,54.22
1763268692.310858,1,1389,875,42418176,54.22
1763268692.310979,3,1426,936,42418176,54.22
1763268692.311925,0,1376,929,42418176,54.22
1763268692.561506,0,1500,1053,42500096,54.22
1763268692.561689,2,1588,1138,42500096,54.22
1763268692.562609,3,1538,1048,42500096,54.22
1763268692.562721,1,1501,987,42500096,54.22
1763268692.811282,2,1705,1255,42549248,54.22
1763268692.811805,1,1607,1093,42549248,54.22
1763268692.811998,3,1651,1161,42549248,54.22
1763268692.812601,0,1619,1172,42549248,54.22
1763268693.061086,1,1720,1206,42582016,54.22
1763268693.061141,3,1760,1270,42582016,54.22
1763268693.061354,0,1729,1282,42582016,54.22
1763268693.061924,2,1815,1365,42582016,54.22
1763268693.311563,1,1841,1327,42631168,54.22
1763268693.311600,2,1930,1480,42631168,54.22
1763268693.311747,3,1880,1390,42631168,54.22
1763268693.311927,0,1848,1401,42631168,54.22
1763268693.561458,2,2032,1582,42680320,54.22
1763268693.562521,3,1989,1499,42680320,54.22
1763268693.562841,0,1954,1507,42680320,54.22
1763268693.563106,1,1942,1428,42680320,54.22
1763268693.811253,3,2103,1613,42729472,54.22
1763268693.811317,2,2138,1688,42729472,54.22
1763268693.811672,0,2063,1616,42729472,54.22
1763268693.812681,1,2048,1534,42729472,54.22
1763268694.061393,3,2212,1722,42778624,54.22
1763268694.061449,0,2171,1724,42778624,54.22
1763268694.062144,1,2160,1646,42778624,54.22
1763268694.062388,2,2252,1802,42778624,54.22
1763268694.311044,0,2295,1848,42811392,54.22
