timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent
1763267666.017183,1,1319,0,45957120,59.08
1763267666.017240,2,1320,0,45957120,59.08
1763267666.017296,0,1325,0,45957120,59.08
1763267666.017370,3,1331,0,45957120,59.08
1763267666.267152,2,2674,0,45957120,59.08
1763267666.267188,0,2680,0,45957120,59.08
1763267666.267249,3,2685,0,45957120,59.08
1763267666.267375,1,2673,0,45957120,59.08
1763267666.517046,0,4027,0,45957120,59.08
1763267666.517080,3,4046,0,45957120,59.08
1763267666.517110,2,4034,0,45957120,59.08
1763267666.517145,1,4033,0,45957120,59.08
1763267666.767025,0,5389,1,45957120,59.08
1763267666.767053,1,5391,1,45957120,59.08
1763267666.767081,3,5405,1,45957120,59.08
1763267666.767147,2,5397,1,45957120,59.08
1763267667.017061,2,6750,1354,45957120,59.08
1763267667.017099,1,6747,1357,45957120,59.08
1763267667.017127,0,6747,1359,45957120,59.08
1763267667.017154,3,6752,1348,45957120,59.08
1763267667.267063,1,8092,2702,45957120,59.08
1763267667.267089,2,8095,2699,45957120,59.08
1763267667.267123,0,8092,2704,45957120,59.08
1763267667.267164,3,8096,2692,45957120,59.08
1763267667.517053,0,9449,4061,45957120,59.08
1763267667.517082,3,9437,4033,45957120,59.08
1763267667.517102,2,9449,4053,45957120,59.08
1763267667.517131,1,9444,4054,45957120,59.08
1763267667.767054,0,10798,5410,45957120,59.08
1763267667.767080,3,10794,5390,45957120,59.08
1763267667.767105,1,10798,5408,45957120,59.08
1763267667.767157,2,10805,5409,45957120,59.08
1763267668.017044,0,12148,6760,45957120,59.08
1763267668.017070,1,12150,6760,45957120,59.08
1763267668.017099,3,12146,6742,45957120,59.08
1763267668.017132,2,12156,6760,45957120,59.08
1763267668.267062,2,13510,8114,45957120,59.08
1763267668.267088,0,13503,8115,45957120,59.08
1763267668.267111,1,13505,8115,45957120,59.08
1763267668.267167,3,13501,8097,45957120,59.08
1763267668.517064,0,14850,9462,45957120,59.08
1763267668.517089,2,14859,9463,45957120,59.08
1763267668.517132,1,14852,9462,45957120,59.08
1763267668.517174,3,14850,9446,45957120,59.08
1763267668.767027,0,16226,10838,45957120,59.08
1763267668.767080,1,16228,10838,45957120,59.08
1763267668.767109,2,16236,10840,45957120,59.08
1763267668.767135,3,16228,10824,45957120,59.08
1763267669.017077,0,17617,12229,45957120,59.08
1763267669.017144,3,17617,12213,45957120,59.08
1763267669.017174,2,17628,12232,45957120,59.08
1763267669.017205,1,17620,12230,45957120,59.08
1763267669.267057,2,18949,13553,45957120,59.08
1763267669.267160,1,18942,13552,45957120,59.08
1763267669.267196,0,18940,13552,45957120,59.08
1763267669.267225,3,18940,13536,45957120,59.08
1763267669.517092,1,20230,14840,45957120,59.08
1763267669.517140,0,20226,14838,45957120,59.08
1763267669.517170,3,20232,14828,45957120,59.08
1763267669.517204,2,20242,14846,45957120,59.08
1763267669.767063,0,21485,16097,45957120,59.08
1763267669.767106,3,21491,16087,45957120,59.08
1763267669.767139,2,21502,16106,45957120,59.08
1763267669.767169,1,21490,16100,45957120,59.08
1763267670.017097,2,22744,17348,45957120,59.08
1763267670.017124,0,22725,17337,45957120,59.08
1763267670.017152,3,22733,17329,45957120,59.08
1763267670.017192,1,22730,17340,45957120,59.08
1763267670.267106,0,23960,18572,45957120,59.08
1763267670.267134,1,23965,18575,45957120,59.08
1763267670.267169,2,23978,18582,45957120,59.08
1763267670.267199,3,23969,18565,45957120,59.08
1763267670.517095,0,25192,19804,45957120,59.08
1763267670.517132,2,25203,19807,45957120,59.08
1763267670.517167,3,25197,19793,45957120,59.08
1763267670.517198,1,25195,19805,45957120,59.08
1763267670.767084,1,26394,21004,45957120,59.08
