timestamp,worker_id,ops_total,analysis_ops,rss_bytes,system_cpu_percent,cpu_temperature_c
1763115035.041245,6,5,0,45301760,99.94,
1763115035.040697,5,5,0,45154304,99.94,
1763115035.041792,0,5,0,45465600,99.94,
1763115035.047771,3,5,0,45203456,99.94,
1763115035.045763,4,5,0,45023232,99.94,
1763115035.057484,9,5,0,45514752,99.94,
1763115035.064207,7,5,0,45694976,99.94,
1763115035.075942,1,6,0,45350912,99.94,
1763115035.089938,8,6,0,45088768,99.94,
1763115035.092246,2,6,0,45137920,99.94,
1763115035.288165,7,9,0,45727744,99.94,
1763115035.297051,0,10,0,45498368,99.94,
1763115035.296241,1,10,0,45383680,99.94,
1763115035.306581,2,10,0,45170688,99.94,
1763115035.312886,8,10,0,45121536,99.94,
1763115035.302852,3,10,0,45236224,99.94,
1763115035.315332,4,10,0,45056000,99.94,
1763115035.317462,9,10,0,45547520,99.94,
1763115035.324064,6,11,0,45350912,99.94,
1763115035.335180,5,11,0,45187072,99.94,
1763115035.546502,0,15,0,45498368,99.94,
1763115035.547347,5,15,0,45187072,99.94,
1763115035.564479,7,14,0,45727744,99.94,
1763115035.566235,1,15,0,45383680,99.94,
1763115035.570942,3,15,0,45236224,99.94,
1763115035.568496,8,15,0,45137920,99.94,
1763115035.579842,4,15,0,45056000,99.94,
1763115035.576874,2,15,0,45170688,99.94,
1763115035.581052,9,15,0,45547520,99.94,
1763115035.588427,6,16,0,45350912,99.94,
1763115035.786311,6,20,1,45350912,99.94,
1763115035.799696,9,19,1,45547520,99.94,
1763115035.800425,1,20,1,45383680,99.94,
1763115035.789331,5,20,1,45187072,99.94,
1763115035.808469,8,20,1,45137920,99.94,
1763115035.803899,3,20,1,45236224,99.94,
1763115035.827445,0,21,1,45498368,99.94,
1763115035.820083,7,20,1,45727744,99.94,
1763115035.822134,2,20,1,45170688,99.94,
1763115035.835978,4,20,1,45056000,99.94,
1763115036.042619,5,25,6,45187072,99.94,
1763115036.042937,3,25,6,45236224,99.94,
1763115036.046454,6,26,7,45350912,99.94,
1763115036.053659,2,25,6,45170688,99.94,
1763115036.059721,0,26,6,45498368,99.94,
1763115036.063530,7,25,6,45727744,99.94,
1763115036.069796,9,25,7,45547520,99.94,
1763115036.067848,4,25,6,45056000,99.94,
1763115036.072783,8,25,6,45137920,99.94,
1763115036.063230,1,25,6,45383680,99.94,
1763115036.303029,8,30,11,45137920,99.94,
1763115036.309347,4,30,11,45056000,99.94,
1763115036.308589,7,30,11,45727744,99.94,
1763115036.305429,9,30,12,45547520,99.94,
1763115036.296876,0,31,11,45498368,99.94,
1763115036.321142,1,30,11,45383680,99.94,
1763115036.292793,6,31,12,45350912,99.94,
1763115036.319413,3,31,12,45236224,99.94,
1763115036.326930,5,31,12,45187072,99.94,
1763115036.332154,2,31,12,45170688,99.94,
1763115036.541491,0,36,16,45498368,99.94,
1763115036.546315,2,35,16,45187072,99.94,
1763115036.565613,9,35,17,45547520,99.94,
1763115036.553491,8,35,16,45137920,99.94,
1763115036.569794,6,36,17,45350912,99.94,
1763115036.563531,1,35,16,45383680,99.94,
1763115036.568599,7,35,16,45727744,99.94,
1763115036.574630,4,35,16,45056000,99.94,
1763115036.576193,3,36,17,45236224,99.94,
1763115036.579313,5,36,17,45187072,99.94,
1763115036.799917,9,40,22,45547520,99.94,
1763115036.803481,8,40,21,45137920,99.94,
1763115036.804469,7,40,21,45727744,99.94,
1763115036.812746,5,41,22,45187072,99.94,
1763115036.815714,6,41,22,45350912,99.94,
1763115036.816931,0,42,22,45498368,99.94,
1763115036.817457,1,40,21,45383680,99.94,
1763115036.811507,3,41,22,45236224,99.94,
1763115036.829469,4,40,21,45056000,99.94,
1763115036.836582,2,41,22,45187072,99.94,
1763115037.035678,8,45,26,45137920,99.94,
1763115037.039545,0,47,27,45514752,99.94,
1763115037.035759,5,46,27,45187072,99.94,
1763115037.050794,6,46,27,45367296,99.94,
1763115037.062752,7,45,26,45727744,99.94,
1763115037.064935,1,45,26,45383680,99.94,
1763115037.079155,9,46,28,45547520,99.94,
1763115037.068663,3,46,27,45236224,99.94,
1763115037.083897,2,46,27,45187072,99.94,
1763115037.081174,4,45,26,45056000,99.94,
